Name_submitted	Name_matched	Author_matched	Overall_score	Taxonomic_status	Accepted_name	Accepted_author	Accepted_family	Source	Warnings	Accepted_name_lsid
Bromus japonicus	Bromus japonicus		1	Synonym	Bromus arvensis	L.	Poaceae	usda	 	
Bromus madritensis	Bromus madritensis		1	Accepted	Bromus madritensis	L.	Poaceae	tpl;tropicos;usda	 	
Bromus madritensis	Bromus madritensis		1	Synonym	Bromus rigidus	Roth	Poaceae	tpl	 	
Bromus madritensis	Bromus madritensis		1	Invalid		Roth	Poaceae	tropicos	 	
Bromus rigidus	Bromus rigidus		1	Accepted	Bromus rigidus	Roth	Poaceae	tpl;tropicos	 	
Bromus rigidus	Bromus rigidus		1	Synonym	Bromus rubens	L.	Poaceae	tpl	 	
Bromus rigidus	Bromus rigidus		1	Synonym	Bromus diandrus ssp. rigidus	(Roth) Lainz	Poaceae	usda	 	
Bromus rubens	Bromus rubens		1	Accepted	Bromus rubens	L.	Poaceae	tpl;tropicos;usda	 	
Bromus rubens	Bromus rubens		1	Synonym	Bromus fasciculatus	C.Presl	Poaceae	tpl	 [Ambiguous match] 	
Bromus rubens	Bromus rubens		1	Synonym	Bromus rigidus	Roth	Poaceae	tpl	 [Ambiguous match] 	
Bromus rubens	Bromus rubens		1	Illegitimate		C.Presl	Poaceae	tropicos	 [Ambiguous match] 	
Bromus sterilis	Bromus sterilis		1	Accepted	Bromus sterilis	L.	Poaceae	tpl;tropicos;usda	 	
Bromus sterilis	Bromus sterilis		1	Synonym	Bromus tectorum	L.	Poaceae	tpl	 	
Brugmansia candida	Brugmansia candida		1	Accepted	Brugmansia candida	Pers.	Solanaceae	tropicos	 	
Brugmansia candida	Brugmansia candida		1	Synonym	Brugmansia ×candida	Pers. (pro sp.)	Solanaceae	usda	 	
Bryonia diocia	No suitable matches found.		0						 	
Bryophyllum fedtschenkoi	Bryophyllum fedtschenkoi		1	Accepted	Bryophyllum fedtschenkoi	(Raym.-Hamet & H.Perrier) Lauz.-March.	Crassulaceae	tpl	 	
Bryophyllum fedtschenkoi	Bryophyllum fedtschenkoi		1	Accepted	Bryophyllum fedtschenkoi	(Raym.-Hamet & H. Perrier) Lauz.-March.	Crassulaceae	tropicos	 	
Bryophyllum fedtschenkoi	Bryophyllum fedtschenkoi		1	Synonym	Kalanchoe fedtschenkoi	Raym.-Hamet & H. Perrier	Crassulaceae	usda	 	
Bryophyllum proliferum	Bryophyllum proliferum		1	Accepted	Bryophyllum proliferum	Bowie ex Hook.	Crassulaceae	tpl	 	
Bryophyllum proliferum	Bryophyllum proliferum		1	Synonym	Kalanchoe prolifera	(Bowie ex Hook.) Raym.-Hamet	Crassulaceae	tropicos	 	
Bunium alpinum	Bunium alpinum		1	Accepted	Bunium alpinum	Waldst. & Kit.	Apiaceae	tpl	 	
Bunium alpinum	Bunium alpinum		1	Synonym	Apium alpinum	(Waldst. & Kit.) Caruel	Apiaceae	tropicos	 	
