Solanum quitoense
Spinacia turkestanica
Sternbergia lutea
Vicia assyriaca
Acer rufinerve
Artemisia sieversiana
Arundinella hirta
Berberis thunbergii
Chenopodium pumilio
Cirsium ochrocentrum
Coleus blumei
Coreopsis alternifolia
Dracopis amplexicaulis
Erigeron
Fallopia x bohemica
Ficus microcarpus
Gardenia jasminoides
Gnaphalium calviceps
Gnaphalium purpureum
Gratiola officinalis
Gypsophila muralis
Hemerocallis yezoensis
Heterotheca grandiflora
Iris pseudoacorus
Ligusticum scoticum
Lindernia dubia
Lindernia dubia var. anagallidea
Linum virginianum
Liriope muscari
Lisaea heterocarpa
Malva sinensis
Mentha micrantha
Nuphar japonica
Pilosella caespitosa
Poa trivialis
Potentilla supina var. ternata
Pseudochattonella verruculosa
Rubus argutus
Rumex thyrsiflorus
Sanguisorba x tenuifolia
Satureja montana
Senecio cannabifolius
Symphytum officinale
Taraxacum laevigatum
Ulva ohnoi
Viola sororia
Cryptocoryne lingua
Cyperus meyenianus
Filipendula ulmaria
Myosotis palustris
Ottochloa nodosa
Silene conoidea
Stenochlaena palustris
Chimonobambusa quadrangularis
Onopordum illyricum
Salvinia cucullata
Soliva pterosperma
Achillea pannonica
Achnatherum hymenoides
Bellevalia trifoliata
Chamaecytisus albus
Chondria collinsiana
Euphorbia lagascae
Filaginella uliginosa
Gagea arvensis
Gahnia aspera subsp. globosa
Galanthus plicatus
Galanthus reginae-olgae
Geranium psilostemon
Holosteum umbellatum
Hydrocotyle ramiflora
Muscari azureum
Najas orientalis
Oldenlandia capensis
Origanum onites
Oxyspora paniculata
Pinus contorta
Piper sarmentosum
Schoenoplectiella supina
Trifolium montanum
Trifolium mutabile
Triticum carthlicum
Albizia carbonaria
Alternanthera halimifolia
Ambrosia peruviana
Aristida ternipes
Arracacia xanthorrhiza
Begonia nelumbiifolia
Calceolaria chelidonioides
Carludovica palmata
Catalpa longissima
Cirsium mexicanum
Citharexylum ellipticum
Citrus aurantiifolia
Cleome gynandra
Costus scaber
Costus spicatus
Crotalaria maypurensis
Croton argenteus
Cuscuta
Cyclanthera pedata
Dalea scandens
Desmodium intortum
Echinodorus grisebachii
Euphorbia trigona
Flemingia lineata
Garcia nutans
Glycosmis parviflora
Helanthium bolivianum
Helenium quadridentatum
Heliconia wagneriana
Heliocarpus americanus
Heliocarpus donnellsmithii
Heteropogon contortus
Hippeastrum puniceum
Hyptis alata
Hyptis spicigera
Imperata brasiliensis
Ipomoea obscura
Ixora thwaitesii
Lablab purpureus
Lantana x strigocamara
Leptochloa fascicularis
Leptochloa fusca
Lupinus plattensis
