Taxon,Genus,Hybrid.marker,Species,Abbrev,Infraspecific.rank,Infraspecific,Authority,ID,Plant.Name.Index,TPL.version,Taxonomic.status,Family,New.Genus,New.Hybrid.marker,New.Species,New.Infraspecific.rank,New.Infraspecific,New.Authority,New.ID,New.Taxonomic.status,Typo,WFormat,Higher.level,Date
Draba verna,Draba,,verna,NA,NA,,,kew-2777499,TRUE,1.1,Synonym,Brassicaceae,Erophila,,verna,,,(L.) DC.,kew-2798608,Accepted,FALSE,FALSE,FALSE,8/3/21
Pilosella officinarum,Pilosella,,officinarum,NA,NA,,,gcc-25499,TRUE,1.1,Accepted,Compositae,Pilosella,,officinarum,,,Vaill.,gcc-25499,Accepted,FALSE,FALSE,FALSE,8/3/21
Helminthotheca echioides,Helminthotheca,,echioides,NA,NA,,,gcc-8501,TRUE,1.1,Accepted,Compositae,Helminthotheca,,echioides,,,(L.) Holub,gcc-8501,Accepted,FALSE,FALSE,FALSE,8/3/21
Frangula alnus,Frangula,,alnus,NA,NA,,,kew-2814031,TRUE,1.1,Accepted,Rhamnaceae,Frangula,,alnus,,,Mill.,kew-2814031,Accepted,FALSE,FALSE,FALSE,8/3/21
Spergularia rubra,Spergularia,,rubra,NA,NA,,,kew-2482087,TRUE,1.1,Accepted,Caryophyllaceae,Spergularia,,rubra,,,(L.) J.Presl & C.Presl,kew-2482087,Accepted,FALSE,FALSE,FALSE,8/3/21
Eucalyptus globulus,Eucalyptus,,globulus,NA,NA,,,kew-73008,TRUE,1.1,Accepted,Myrtaceae,Eucalyptus,,globulus,,,Labill.,kew-73008,Accepted,FALSE,FALSE,FALSE,8/3/21
Juncus articulatus,Juncus,,articulatus,NA,NA,,,kew-314426,TRUE,1.1,Accepted,Juncaceae,Juncus,,articulatus,,,L.,kew-314426,Accepted,FALSE,FALSE,FALSE,8/3/21
Salix cinerea,Salix,,cinerea,NA,NA,,,kew-5001635,TRUE,1.1,Accepted,Salicaceae,Salix,,cinerea,,,L.,kew-5001635,Accepted,FALSE,FALSE,FALSE,8/3/21
Alopecurus pratensis,Alopecurus,,pratensis,NA,NA,,,kew-391506,TRUE,1.1,Accepted,Poaceae,Alopecurus,,pratensis,,,L.,kew-391506,Accepted,FALSE,FALSE,FALSE,8/3/21
Campylopus introflexus,Campylopus,,introflexus,NA,NA,,,tro-35156181,TRUE,1.1,Accepted,Dicranaceae,Campylopus,,introflexus,,,(Hedw.) Brid.,tro-35156181,Accepted,FALSE,FALSE,FALSE,8/3/21
Lupinus polyphyllus,Lupinus,,polyphyllus,NA,NA,,,ild-8908,TRUE,1.1,Accepted,Leguminosae,Lupinus,,polyphyllus,,,Lindl.,ild-8908,Accepted,FALSE,FALSE,FALSE,8/3/21
Silene vulgaris,Silene,,vulgaris,NA,NA,,,kew-2487840,TRUE,1.1,Accepted,Caryophyllaceae,Silene,,vulgaris,,,(Moench) Garcke,kew-2487840,Accepted,FALSE,FALSE,FALSE,8/3/21
Rhamnus cathartica,Rhamnus,,cathartica,NA,NA,,,kew-2523018,TRUE,1.1,Accepted,Rhamnaceae,Rhamnus,,cathartica,,,L.,kew-2523018,Accepted,FALSE,FALSE,FALSE,8/3/21
Achillea ptarmica,Achillea,,ptarmica,NA,NA,,,gcc-132682,TRUE,1.1,Accepted,Compositae,Achillea,,ptarmica,,,L.,gcc-132682,Accepted,FALSE,FALSE,FALSE,8/3/21
Myosotis arvensis,Myosotis,,arvensis,NA,NA,,,kew-2357149,TRUE,1.1,Accepted,Boraginaceae,Myosotis,,arvensis,,,(L.) Hill,kew-2357149,Accepted,FALSE,FALSE,FALSE,8/3/21
