"","species"
"18653","Psychotria alba"
"18654","Psychotria barbiflora"
"18655","Psychotria curviflora"
"18656","Psychotria hombroniana"
"18657","Psychotria lasianthoides"
"18658","Psychotria merrillii"
"18659","Psychotria nervosa"
"18660","Psychotria pubescens"
"18661","Psychotria punctata"
"18662","Psychotria rhombocarpoides"
"18663","Psychotria ruelliaefolia"
"18664","Psylliostachys leptostachya"
"18665","Psylliostachys spicata"
"18666","Psylliostachys suworowii"
"18667","Ptelea trifoliata"
"18668","Pteridium aquilinum"
"18669","Pteridium caudatum"
"18670","Pteridium esculentum"
"18671","Pteridium revolutum"
"18672","Pteridium spp."
"18673","Pteris cretica"
"18674","Pteris dentata"
"18675","Pteris ensiformis"
"18676","Pteris grandifolia"
"18677","Pteris macaracantha"
"18678","Pteris multifida"
"18679","Pteris pacifica"
"18680","Pteris plumula"
"18681","Pteris semipinnata"
"18682","Pteris togoensis"
"18683","Pteris tremula"
"18684","Pteris tripartita"
"18685","Pteris vittata"
"18686","Pterocarpus erinaceus"
"18687","Pterocarpus indicus"
"18688","Pterocarpus macrocarpus"
"18689","Pterocarpus officinalis"
"18690","Pterocarpus rotundifolius"
"18691","Pterocarpus santalinoides"
"18692","Pterocarya fraxinifolia"
"18693","Pterocarya rehderiana"
"18694","Pterocarya sp."
"18695","Pterocarya stenoptera"
"18696","Pterocaulon lanatum"
"18697","Pterocaulon redolens"
"18698","Pterocaulon rugosum"
"18699","Pterocaulon sphacelatum"
"18700","Pterocaulon virgatum"
"18701","Pterocephalus sanctus"
"18702","Pterocephalus sp."
"18703","Pterocypsela indica"
"18704","Pterogyne nitens"
"18705","Pterolepis glomerata"
"18706","Pterolepis glomeratum"
"18707","Pterolepis pumila"
"18708","Pterolobium stellatum"
"18709","Pteronia incana"
"18710","Pteronia pallens"
"18711","Pterotheca sancta"
"18712","Ptilostemon afer"
"18713","Ptilostemon casabonae"
"18714","Ptilotus polystachyus"
"18715","Ptychosperma elegans"
"18716","Ptychosperma hosinoi"
"18717","Ptychosperma ledermaniana"
"18718","Ptychosperma macarthurii"
"18719","Puccinellia airoides"
"18720","Puccinellia angusta"
"18721","Puccinellia ciliata"
"18722","Puccinellia distans"
"18723","Puccinellia fasciculata"
"18724","Puccinellia festuciformis"
"18725","Puccinellia fominii"
"18726","Puccinellia gigantea"
"18727","Puccinellia grandis"
"18728","Puccinellia hauptiana"
"18729","Puccinellia kobayashii"
"18730","Puccinellia lemmoni"
"18731","Puccinellia maritima"
"18732","Puccinellia micrandra"
"18733","Puccinellia nutkaensis"
"18734","Puccinellia nuttaliana"
"18735","Puccinellia nuttalliana"
"18736","Puccinellia poecilantha"
"18737","Puccinellia pumila"
"18738","Puccinellia rupestris"
"18739","Puccinellia stricta"
"18740","Puccinellia tenuiflora"
"18741","Puccinellia tenuissima"
"18742","Puccinia coronata"
"18743","Puccinia graminis"
"18744","Pueraria harmsii"
"18745","Pueraria hirsuta"
"18746","Pueraria lobata"
"18747","Pueraria montana"
"18748","Pueraria novo-guineensis"
"18749","Pueraria phaseoloides"
"18750","Pueraria sp."
"18751","Pueraria thomsonii"
"18752","Pueraria thunbergiana"
"18753","Pueraria triloba"
"18754","Pugionium cornutum"
"18755","Pulicaria arabica"
"18756","Pulicaria crispa"
"18757","Pulicaria dysenterica"
"18758","Pulicaria gnaphalodes"
"18759","Pulicaria inuloides"
"18760","Pulicaria odora"
"18761","Pulicaria paludosa"
"18762","Pulicaria prostrata"
"18763","Pulicaria scabra"
"18764","Pulicaria sp."
"18765","Pulicaria undulata"
"18766","Pulicaria vulgaris"
"18767","Pulmonaria affinis"
"18768","Pulmonaria angustifolia"
"18769","Pulmonaria longifolia"
"18770","Pulmonaria montana"
"18771","Pulmonaria officinalis"
"18772","Pulmonaria rubra"
"18773","Pulmonaria saccharata"
"18774","Pulmonaria sibirica"
"18775","Pulmonaria sp."
"18776","Pulsatilla chinensis"
"18777","Pulsatilla ludoviciana"
"18778","Pulsatilla patens"
"18779","Pulsatilla pratensis"
"18780","Pulsatilla slavica"
"18781","Pulsatilla vulgaris"
"18782","Pultenaea daphnoides"
"18783","Punica granatum"
"18784","Pupalia atropurpurea"
"18785","Pupalia lappacea"
"18786","Pupalia micrantha"
"18787","Purshia tridentata"
"18788","Puschkinia scilloides"
"18789","Puya alpestris"
"18790","Puya chilensis"
"18791","Puya coerulea"
"18792","Puya venusta"
"18793","Pycnanthemum flexuosum"
"18794","Pycnocycla tomentosa"
"18795","Pycnospora lutescens"
"18796","Pycnostachys urticifolia"
"18797","Pycreus albo-marginatus"
"18798","Pycreus decumbens"
"18799","Pycreus ferrugineus"
"18800","Pycreus flavescens"
"18801","Pycreus flavidus"
"18802","Pycreus globosus"
"18803","Pycreus intactus"
"18804","Pycreus lanceolatus"
"18805","Pycreus mundtii"
"18806","Pycreus nitens"
"18807","Pycreus nitidus"
"18808","Pycreus odoratus"
"18809","Pycreus olfersianus"
"18810","Pycreus polystachyos"
"18811","Pycreus propinquus"
"18812","Pycreus pumilus"
"18813","Pycreus sanguinolentus"
"18814","Pycreus tremulus"
"18815","Pygmaeothamnus zeyheri"
"18816","Pyracantha angustifolia"
"18817","Pyracantha atalantioides"
"18818","Pyracantha augustifolia"
"18819","Pyracantha coccinea"
"18820","Pyracantha crenatoserrata"
"18821","Pyracantha crenulata"
"18822","Pyracantha fortuneana"
"18823","Pyracantha koidzumii"
"18824","Pyracantha rogersiana"
"18825","Pyracantha spp."
"18826","Pyrethrum macrophyllum"
"18827","Pyrethrum parthenifolium"
"18828","Pyrethrum parthenium"
"18829","Pyrethrum santolinoides"
"18830","Pyrola chlorantha"
"18831","Pyrola elliptica"
"18832","Pyrola media"
"18833","Pyrola minor"
"18834","Pyrola rotundifolia"
"18835","Pyrostegia ignea"
"18836","Pyrostegia venusta"
"18837","Pyrrhopappus carolinianus"
"18838","Pyrrhopappus pauciflorus"
"18839","Pyrrocoma racemosa"
"18840","Pyrrosia piloselloides"
"18841","Pyrus amphigenea"
"18842","Pyrus amygdaliformis"
"18843","Pyrus angustifolia"
"18844","Pyrus arbutifolia"
"18845","Pyrus austriaca"
"18846","Pyrus calleryana"
"18847","Pyrus calleyerana"
"18848","Pyrus communis"
"18849","Pyrus coronaria"
"18850","Pyrus floribunda"
"18851","Pyrus ioensis"
"18852","Pyrus malus"
"18853","Pyrus melanocarpa"
"18854","Pyrus nivalis"
"18855","Pyrus prunifolia"
"18856","Pyrus pyraster"
"18857","Pyrus pyrifolia"
"18858","Pyrus salicifolia"
"18859","Pyrus salvifolia"
"18860","Pyrus spinosa"
"18861","Pyrus syriaca"
"18862","Pyrus ussuriensis"
"18863","Quamoclit cholulensis"
"18864","Quamoclit coccinea"
"18865","Quamoclit gracilis"
"18866","Quassia amara"
"18867","Quercus acutissima"
"18868","Quercus agrifolia"
"18869","Quercus alba"
"18870","Quercus aliena"
"18871","Quercus arizonica"
"18872","Quercus bicolor"
"18873","Quercus borealis"
"18874","Quercus canariensis"
"18875","Quercus castaneifolia"
"18876","Quercus cerris"
"18877","Quercus cerris x suber"
"18878","Quercus chrysolepis"
"18879","Quercus coccinea"
"18880","Quercus douglasii"
"18881","Quercus dumosa"
"18882","Quercus durandii"
"18883","Quercus durata"
"18884","Quercus ellipsoidalis"
"18885","Quercus emoryi"
"18886","Quercus engelmannii"
"18887","Quercus faginea"
"18888","Quercus falcata"
"18889","Quercus gambelii"
"18890","Quercus garryana"
"18891","Quercus havardii"
"18892","Quercus hypoleucoides"
"18893","Quercus ilex"
"18894","Quercus ilicifolia"
"18895","Quercus imbricaria"
"18896","Quercus incana"
"18897","Quercus kelloggii"
"18898","Quercus laevis"
"18899","Quercus laurifolia"
"18900","Quercus lobata"
"18901","Quercus lyrata"
"18902","Quercus macrocarpa"
"18903","Quercus mandanensis"
"18904","Quercus marilandica"
"18905","Quercus michauxii"
"18906","Quercus muehlenbergii"
"18907","Quercus myrsinaefolia"
"18908","Quercus myrtifolia"
"18909","Quercus nigra"
"18910","Quercus oblongifolia"
"18911","Quercus palustris"
"18912","Quercus petraea"
"18913","Quercus petraea x robur"
"18914","Quercus phellos"
"18915","Quercus phillyraeoides"
"18916","Quercus pontica"
"18917","Quercus prinoides"
"18918","Quercus prinus"
"18919","Quercus pubescens"
"18920","Quercus pungens"
"18921","Quercus robur"
"18922","Quercus robur x cerris"
"18923","Quercus rubra"
"18924","Quercus sessiliflora"
"18925","Quercus shumardii"
"18926","Quercus sp."
"18927","Quercus spp."
"18928","Quercus stellata"
"18929","Quercus suber"
"18930","Quercus turbinella"
"18931","Quercus vaccinifolia"
"18932","Quercus velutina"
"18933","Quercus virginiana"
"18934","Quercus wislizeni"
"18935","Quillaja saponaria"
"18936","Quincula lobata"
"18937","Quisqualis indica"
"18938","Rabdosia serra"
"18939","Racosperma baileyanum"
"18940","Racosperma dealbatum"
"18941","Racosperma decurrens"
"18942","Racosperma elatum"
"18943","Racosperma floribundum"
"18944","Racosperma longifolium"
"18945","Racosperma mearnsii"
"18946","Racosperma melanoxylon"
"18947","Racosperma paradoxum"
"18948","Racosperma parramattense"
"18949","Racosperma podalyriifolium"
"18950","Racosperma sophorae"
"18951","Racosperma strictum"
"18952","Racosperma verticillatum"
"18953","Radermachera pentandra"
"18954","Radermachera sinica"
"18955","Radiata leiocarpa"
"18956","Radicula armoracia"
"18957","Radiola linoides"
"18958","Ramaria flavo-brunnescens"
"18959","Ramonda myconi"
"18960","Randia aculeata"
"18961","Randia formosa"
"18962","Randia mitis"
"18963","Randia spinifex"
"18964","Ranunculus abortivus"
"18965","Ranunculus acer"
"18966","Ranunculus aconitifolius"
"18967","Ranunculus acris"
"18968","Ranunculus alismaefolius"
"18969","Ranunculus apiifolius"
"18970","Ranunculus aquatilis"
"18971","Ranunculus aquatilus"
"18972","Ranunculus arvenis"
"18973","Ranunculus arvensis"
"18974","Ranunculus asiaticus"
"18975","Ranunculus auricomus"
"18976","Ranunculus baudotii"
"18977","Ranunculus bonariensis"
"18978","Ranunculus bulbosus"
"18979","Ranunculus bullatus"
"18980","Ranunculus californicus"
"18981","Ranunculus calthaefolius"
"18982","Ranunculus cantoniensis"
"18983","Ranunculus chinensis"
"18984","Ranunculus circinatus"
"18985","Ranunculus confervoides"
"18986","Ranunculus cordiger"
"18987","Ranunculus cornutus"
"18988","Ranunculus cortusifolius"
"18989","Ranunculus cymbalaria"
"18990","Ranunculus diffusus"
"18991","Ranunculus falcatus"
"18992","Ranunculus fascicularis"
"18993","Ranunculus ficaria"
"18994","Ranunculus flabellaris"
"18995","Ranunculus flaccidus"
"18996","Ranunculus flagelliformis"
"18997","Ranunculus flammula"
"18998","Ranunculus fluitans"
"18999","Ranunculus friesianus"
"19000","Ranunculus hederaceus"
"19001","Ranunculus hispidus"
"19002","Ranunculus hydrocharoides"
"19003","Ranunculus illyricus"
"19004","Ranunculus inundatus"
"19005","Ranunculus japonica"
"19006","Ranunculus japonicus"
"19007","Ranunculus laetus"
"19008","Ranunculus lanuginosus"
"19009","Ranunculus lappaceus"
"19010","Ranunculus lateriflorus"
"19011","Ranunculus lingua"
"19012","Ranunculus lobbii"
"19013","Ranunculus lomatocarpus"
"19014","Ranunculus macranthus"
"19015","Ranunculus marginatus"
"19016","Ranunculus micranthus"
"19017","Ranunculus millefoliatus"
"19018","Ranunculus millefolius"
"19019","Ranunculus monspeliacus"
"19020","Ranunculus montanus"
"19021","Ranunculus multifidus"
"19022","Ranunculus muricatus"
"19023","Ranunculus natans"
"19024","Ranunculus neapolitanus"
"19025","Ranunculus nemorosus"
"19026","Ranunculus ophioglossifolius"
"19027","Ranunculus parviflorus"
"19028","Ranunculus pedatus"
"19029","Ranunculus pensylvanicus"
"19030","Ranunculus petiolaris"
"19031","Ranunculus platensis"
"19032","Ranunculus plebeius"
"19033","Ranunculus polii"
"19034","Ranunculus polyanthemos"
"19035","Ranunculus pseudobulbosus"
"19036","Ranunculus psilostachys"
"19037","Ranunculus pumilio"
"19038","Ranunculus pusillus"
"19039","Ranunculus quelpaertensis"
"19040","Ranunculus recurvatus"
"19041","Ranunculus repens"
"19042","Ranunculus reptans"
"19043","Ranunculus rupestris"
"19044","Ranunculus sardous"
"19045","Ranunculus sceleratus"
"19046","Ranunculus septentrionalis"
"19047","Ranunculus serbicus"
"19048","Ranunculus sessiliflorus"
"19049","Ranunculus sieboldii"
"19050","Ranunculus silerifolius"
"19051","Ranunculus spp."
"19052","Ranunculus ternatus"
"19053","Ranunculus testiculatus"
"19054","Ranunculus trichophyllus"
"19055","Ranunculus trilobus"
"19056","Ranunculus velutinus"
"19057","Rapanea melanophloeos"
"19058","Raphaanus sp."
"19059","Raphanus candidus"
"19060","Raphanus maritimus"
"19061","Raphanus microcarpus"
"19062","Raphanus raphanistroides"
"19063","Raphanus raphanistrum"
"19064","Raphanus sativus"
"19065","Raphanus spp."
"19066","Raphia spp."
"19067","Raphia vinifera"
"19068","Raphiolepis umbellata"
"19069","Raphionacme procumbens"
"19070","Rapistrum hispanicum"
"19071","Rapistrum orientale"
"19072","Rapistrum perenne"
"19073","Rapistrum rugosum"
"19074","Rapistrum spp."
"19075","Ratibida columnaris"
"19076","Ratibida columnifera"
"19077","Ratibida pinnata"
"19078","Ratibida tagetes"
"19079","Raulinoreitzia tremula"
"19080","Rauvolfia ligustrina"
"19081","Rauvolfia salicifolia"
"19082","Rauvolfia tetraphylla"
"19083","Rauvolfia vomitoria"
"19084","Ravenala madagascariensis"
"19085","Ravenda spp."
"19086","Razoumofskia spp."
"19087","Razoumofskya spp."
"19088","Reaumuria hertella"
"19089","Reaumuria vermiculata"
"19090","Regnellidium diphyllum"
"19091","Rehmannia glutinosa"
"19092","Reichardia intermedia"
"19093","Reichardia orientalis"
"19094","Reichardia picroides"
"19095","Reichardia tingitana"
"19096","Reineckea carnea"
"19097","Reinwardtia indica"
"19098","Reinwardtia trigyna"
"19099","Relhania genistifolia"
"19100","Remijia pedunculata"
"19101","Renealmia antillarum"
"19102","Reseda alba"
"19103","Reseda arabica"
"19104","Reseda decursiva"
"19105","Reseda inodora"
"19106","Reseda lutea"
"19107","Reseda luteola"
"19108","Reseda media"
"19109","Reseda muricata"
"19110","Reseda odorata"
"19111","Reseda orientalis"
"19112","Reseda phyteuma"
"19113","Reseda pruinosa"
"19114","Restio triticeus"
"19115","Retama monosperma"
"19116","Retama raetam"
"19117","Retana monosperma"
"19118","Reynoutria bohemica"
"19119","Reynoutria cilinodis"
"19120","Reynoutria convolvulus"
"19121","Reynoutria japonica"
"19122","Reynoutria sachalinensis"
"19123","Rhadogia nutans"
"19124","Rhagadiolus cathartica"
"19125","Rhagadiolus edulis"
"19126","Rhagadiolus stellatus"
"19127","Rhagodia spinescens"
"19128","Rhamnus alaternus"
"19129","Rhamnus alnifolia"
"19130","Rhamnus alnifolius"
"19131","Rhamnus arguta"
"19132","Rhamnus californica"
"19133","Rhamnus caroliniana"
"19134","Rhamnus cathartica"
"19135","Rhamnus catharticus"
"19136","Rhamnus crocea"
"19137","Rhamnus davurica"
"19138","Rhamnus disperma"
"19139","Rhamnus frangula"
"19140","Rhamnus frangulus"
"19141","Rhamnus japonica"
"19142","Rhamnus persicus"
"19143","Rhamnus prinoides"
"19144","Rhamnus purshiana"
"19145","Rhamnus sp."
"19146","Rhamnus spp."
"19147","Rhamnus utilis"
"19148","Rhamphicarpa fistulosa"
"19149","Rhamphicarpa longiflora"
"19150","Rhaphiodon echinus"
"19151","Rhaphiolepis indica"
"19152","Rhaphiolepis sp."
"19153","Rhaphiolepis umbellata"
"19154","Rhapis excelsa"
"19155","Rhapis humilis"
"19156","Rhaponticum repens"
"19157","Rhaponticum uniflorum"
"19158","Rheum hybridum"
"19159","Rheum officinale"
"19160","Rheum palmatum"
"19161","Rheum rhabarbarum"
"19162","Rheum sp."
"19163","Rhigozum brevispinosum"
"19164","Rhigozum trichotomum"
"19165","Rhinacanthus nasutus"
"19166","Rhinanthus alectorolophus"
"19167","Rhinanthus angustifolius"
"19168","Rhinanthus apterus"
"19169","Rhinanthus borealis"
"19170","Rhinanthus crista-galli"
"19171","Rhinanthus glaber"
"19172","Rhinanthus major"
"19173","Rhinanthus minor"
"19174","Rhinanthus rumelicus"
"19175","Rhinanthus serotinus"
"19176","Rhinanthus spp."
"19177","Rhinanthus stenophyllus"
"19178","Rhizoclonium riparium"
"19179","Rhizoclonium spp."
"19180","Rhizophora mangle"
"19181","Rhizophora stylosa"
"19182","Rhodanthe charsleyae"
"19183","Rhodanthe chlorocephala"
"19184","Rhodanthe corymbiflora"
"19185","Rhodanthe floribunda"
"19186","Rhodanthe moschata"
"19187","Rhodiola dumulosa"
"19188","Rhododendron albiflorum"
"19189","Rhododendron arboreum"
"19190","Rhododendron barbatum"
"19191","Rhododendron californicum"
"19192","Rhododendron canadense"
"19193","Rhododendron canescens"
"19194","Rhododendron decorum"
"19195","Rhododendron ferrugineum"
"19196","Rhododendron groenlandicum"
"19197","Rhododendron indicum"
"19198","Rhododendron japonicum"
"19199","Rhododendron luteum"
"19200","Rhododendron macgregoriae"
"19201","Rhododendron macrophyllum"
"19202","Rhododendron maximum"
"19203","Rhododendron minus"
"19204","Rhododendron molle"
"19205","Rhododendron obtusum"
"19206","Rhododendron occidentale"
"19207","Rhododendron ponticum"
"19208","Rhododendron sutchuenense"
"19209","Rhododendron tomentosum"
"19210","Rhodomyrtus macrocarpa"
"19211","Rhodomyrtus psidioides"
"19212","Rhodomyrtus tomentosa"
"19213","Rhodomyrtus tomentosus"
"19214","Rhodora canadensis"
"19215","Rhodosciadium tolucense"
"19216","Rhodostachys bicolor"
"19217","Rhodotypos scandens"
"19218","Rhoeo spathacea"
"19219","Rhoicissus tomentosa"
"19220","Rhoicissus tridentata"
"19221","Rhus abyssinica"
"19222","Rhus aromatica"
"19223","Rhus ciliata"
"19224","Rhus copallina"
"19225","Rhus copallinum"
"19226","Rhus coriaria"
"19227","Rhus cuneifolius"
"19228","Rhus diversiloba"
"19229","Rhus glabra"
"19230","Rhus glauca"
"19231","Rhus hirta"
"19232","Rhus javanica"
"19233","Rhus laevigata"
"19234","Rhus lancea"
"19235","Rhus lanceolata"
"19236","Rhus laurina"
"19237","Rhus leptodictya"
"19238","Rhus lucida"
"19239","Rhus marlothii"
"19240","Rhus microphylla"
"19241","Rhus ovata"
"19242","Rhus pyroides"
"19243","Rhus radicans"
"19244","Rhus rehmanniana"
"19245","Rhus rydbergii"
"19246","Rhus sp."
"19247","Rhus succedanea"
"19248","Rhus succedeana"
"19249","Rhus sylvestris"
"19250","Rhus toxicodendron"
"19251","Rhus transvaalensis"
"19252","Rhus trilobata"
"19253","Rhus tripartita"
"19254","Rhus typhina"
"19255","Rhus undulata"
"19256","Rhus verniciflua"
"19257","Rhus vernix"
"19258","Rhus virens"
"19259","Rhynchanthera grandiflora"
"19260","Rhynchelytrum nerviglume"
"19261","Rhynchelytrum repens"
"19262","Rhynchelytrum roseum"
"19263","Rhynchocorys elephas"
"19264","Rhynchophreatia carolinensis"
"19265","Rhynchosia capitata"
"19266","Rhynchosia caribaea"
"19267","Rhynchosia discolor"
"19268","Rhynchosia hirta"
"19269","Rhynchosia memmonia"
"19270","Rhynchosia minima"
"19271","Rhynchosia minima v"
"19272","Rhynchosia minina"
"19273","Rhynchosia pentheri"
"19274","Rhynchosia reticulata"
"19275","Rhynchosia spp."
"19276","Rhynchosia sublobata"
"19277","Rhynchosia volubilis"
"19278","Rhynchosida physocalyx"
"19279","Rhynchosinapis cheiranthos"
"19280","Rhynchosinapis erucastrum"
"19281","Rhynchospora alba"
"19282","Rhynchospora aurea"
"19283","Rhynchospora caduca"
"19284","Rhynchospora californica"
"19285","Rhynchospora capitellata"
"19286","Rhynchospora cephalotes"
"19287","Rhynchospora chinensis"
"19288","Rhynchospora corniculata"
"19289","Rhynchospora corymbosa"
"19290","Rhynchospora cyperoides"
"19291","Rhynchospora globularis"
"19292","Rhynchospora kunthii"
"19293","Rhynchospora nervosa"
"19294","Rhynchospora radicans"
"19295","Rhynchospora rubra"
"19296","Rhynchospora rugosa"
"19297","Rhynchospora setigera"
"19298","Rhynchospora spp."
"19299","Rhynchospora stellata"
"19300","Rhynchospora tenuis"
"19301","Rhytidiadelphus squarrosus"
"19302","Rhytidiadelphus triquetrus"
"19303","Rhytidophyllum tomentosum"
"19304","Ribes alpinum"
"19305","Ribes americanum"
"19306","Ribes aureum"
"19307","Ribes binominatum"
"19308","Ribes bracteosum"
"19309","Ribes californicum"
"19310","Ribes cereum"
"19311","Ribes cynosbati"
"19312","Ribes floridum"
"19313","Ribes glandulosum"
"19314","Ribes glutinosum"
"19315","Ribes hirtellum"
"19316","Ribes huronense"
"19317","Ribes inerme"
"19318","Ribes lacustre"
"19319","Ribes laxiflorum"
"19320","Ribes lobbii"
"19321","Ribes marshallii"
"19322","Ribes menziesii"
"19323","Ribes missouriense"
"19324","Ribes montigenum"
"19325","Ribes nevadense"
"19326","Ribes nigrum"
"19327","Ribes odoratum"
"19328","Ribes oxyacanthoides"
"19329","Ribes pallidum"
"19330","Ribes pennsylvanicum"
"19331","Ribes petiolare"
"19332","Ribes prostratum"
"19333","Ribes reclinatum"
"19334","Ribes rigens"
"19335","Ribes roezlii"
"19336","Ribes rubrum"
"19337","Ribes sanguineum"
"19338","Ribes sativum"
"19339","Ribes saxosum"
"19340","Ribes setosum"
"19341","Ribes speciosum"
"19342","Ribes spicatum"
"19343","Ribes spp."
"19344","Ribes sylvestre"
"19345","Ribes triste"
"19346","Ribes tularense"
"19347","Ribes uva-crispa"
"19348","Ribes velutinum"
"19349","Ribes viscosissimum"
"19350","Ribes vulgare"
"19351","Riccia bifurca"
"19352","Riccia ciliata"
"19353","Riccia crystallina"
"19354","Riccia fluitans"
"19355","Riccia glauca"
"19356","Riccia rechingeri"
"19357","Riccia rhenana"
"19358","Riccia spp."
"19359","Ricciocarpos natans"
"19360","Ricciocarpus natans"
"19361","Richardia brasiliensis"
"19362","Richardia grandiflora"
"19363","Richardia humistrata"
"19364","Richardia pedicellata"
"19365","Richardia scabra"
"19366","Richardia spp."
"19367","Richardia stellaris"
"19368","Ricinus communis"
"19369","Ridolfia segetum"
"19370","Riencourtia latifolia"
"19371","Riencourtia oblongifolia"
"19372","Rivina humilis"
"19373","Robbairea delileana"
"19374","Robertiella robertiana"
"19375","Robinia hispida"
"19376","Robinia pseudoacacia"
"19377","Robinia viscosa"
"19378","Rochea coccinea"
"19379","Rochefortia spinosa"
"19380","Rochelia disperma"
"19381","Rodgersia aesculifolia"
"19382","Rodgersia podophylla"
"19383","Roegneria ciliaris"
"19384","Roegneria japonensis"
"19385","Roegneria kamoji"
"19386","Roegneria mayebarana"
"19387","Roemeria hybrida"
"19388","Roemeria hyrida"
"19389","Roemeria refracta"
"19390","Roemeria rhoeadiflora"
"19391","Rolandra fruticosa"
"19392","Roldana petasitis"
"19393","Romneya coulteri"
"19394","Romneya trichocalyx"
"19395","Romulea bulbocodium"
"19396","Romulea flava"
"19397","Romulea gigantea"
"19398","Romulea minutiflora"
"19399","Romulea obscura"
"19400","Romulea pratensis"
"19401","Romulea rosea"
"19402","Romulea spp."
"19403","Rondeletia odorata"
"19404","Rondeletia purdiei"
"19405","Rorippa amphibia"
"19406","Rorippa amphibia x sylvestris"
"19407","Rorippa anceps"
"19408","Rorippa aquatica"
"19409","Rorippa armoracia"
"19410","Rorippa armoracioides"
"19411","Rorippa atrovirens"
"19412","Rorippa austriaca"
"19413","Rorippa austriaca x sylvestris"
"19414","Rorippa cantoniensis"
"19415","Rorippa curvipes"
"19416","Rorippa curvisiliqua"
"19417","Rorippa dubia"
"19418","Rorippa fluviatilis"
"19419","Rorippa gambellii"
"19420","Rorippa globosa"
"19421","Rorippa heterophylla"
"19422","Rorippa hilariana"
"19423","Rorippa hispida"
"19424","Rorippa indica"
"19425","Rorippa islandica"
"19426","Rorippa lippizensis"
"19427","Rorippa mexicana"
"19428","Rorippa microphylla"
"19429","Rorippa microphylla x nasturtium-aquaticum"
"19430","Rorippa microsperma"
"19431","Rorippa montana"
"19432","Rorippa nana"
"19433","Rorippa nasturtium-aquaticum"
"19434","Rorippa obtusa"
"19435","Rorippa palustris"
"19436","Rorippa pinnata"
"19437","Rorippa prostrata"
"19438","Rorippa pyrenaica"
"19439","Rorippa sarmentosa"
"19440","Rorippa silvestris"
"19441","Rorippa sinuata"
"19442","Rorippa spp."
"19443","Rorippa sterilis"
"19444","Rorippa sylvestris"
"19445","Rorippa tenerrima"
"19446","Rorippa teres"
"19447","Rorippa truncata"
"19448","Rorippa williamsii"
"19449","Rosa acicularis"
"19450","Rosa agrestis"
"19451","Rosa alba"
"19452","Rosa arabica"
"19453","Rosa arkansana"
"19454","Rosa arvensis"
"19455","Rosa arvensis x canina"
"19456","Rosa arvensis x gallica"
"19457","Rosa arvensis x rugosa"
"19458","Rosa banksiae"
"19459","Rosa bifera"
"19460","Rosa blanda"
"19461","Rosa borboniana"
"19462","Rosa bracteata"
"19463","Rosa caesia"
"19464","Rosa californica"
"19465","Rosa canina"
"19466","Rosa canina x stylosa"
"19467","Rosa carolina"
"19468","Rosa centifolia"
"19469","Rosa chinensis"
"19470","Rosa chinensis x moschata"
"19471","Rosa chinensis x multiflora"
"19472","Rosa cinnamomea"
"19473","Rosa corymbifera"
"19474","Rosa damascena"
"19475","Rosa dumalis"
"19476","Rosa dumetorum"
"19477","Rosa eglanteria"
"19478","Rosa fendleri"
"19479","Rosa ferruginea"
"19480","Rosa filipes"
"19481","Rosa foetida"
"19482","Rosa francofurtana"
"19483","Rosa gallica"
"19484","Rosa glauca"
"19485","Rosa glutinosa"
"19486","Rosa gymnocarpa"
"19487","Rosa harisonii"
"19488","Rosa hugonis"
"19489","Rosa indica"
"19490","Rosa kamtchatica"
"19491","Rosa laevigata"
"19492","Rosa luciae"
"19493","Rosa majalis"
"19494","Rosa micrantha"
"19495","Rosa mollis"
"19496","Rosa mollis x pimpinellifolia"
"19497","Rosa moschata"
"19498","Rosa moschata hybrids"
"19499","Rosa multiflora"
"19500","Rosa nitida"
"19501","Rosa noisettiana"
"19502","Rosa nutkana"
"19503","Rosa odorata"
"19504","Rosa palustris"
"19505","Rosa pendulina"
"19506","Rosa pimpinellifolia"
"19507","Rosa pratincola"
"19508","Rosa rehderiana"
"19509","Rosa roxburghii"
"19510","Rosa rubiginosa"
"19511","Rosa rubigosa"
"19512","Rosa rubrifolia"
"19513","Rosa rugosa"
"19514","Rosa sempervirens"
"19515","Rosa sempervirens hybrids"
"19516","Rosa serafinii"
"19517","Rosa sericea"
"19518","Rosa setigera"
"19519","Rosa sherardii"
"19520","Rosa sicula"
"19521","Rosa sp."
"19522","Rosa spinosissima"
"19523","Rosa spp."
"19524","Rosa sulphurea"
"19525","Rosa tomentosa"
"19526","Rosa villosa"
"19527","Rosa virginiana"
"19528","Rosa wichuraiana"
"19529","Rosa willmottiae"
"19530","Rosa woodsii"
"19531","Rosa xanthina"
"19532","Rosmarinus officinalis"
"19533","Rostellularia obtusa"
"19534","Rostellularia procumbens"
"19535","Rostellularia sundana"
"19536","Rostraria cristata"
"19537","Rostraria litorea"
"19538","Rostraria phleoides"
"19539","Rostraria pumila"
"19540","Rostraria salzmannii"
"19541","Rotala densiflora"
"19542","Rotala filiformis"
"19543","Rotala indica"
"19544","Rotala leptopetala"
"19545","Rotala macrandra"
"19546","Rotala mexicana"
"19547","Rotala pentandra"
"19548","Rotala pusilla"
"19549","Rotala ramosior"
"19550","Rotala rosea"
"19551","Rotala rotundifolia"
"19552","Rotala uliginosa"
"19553","Rotheca serrata"
"19554","Rothia trifoliata"
"19555","Rothmannia globosa"
"19556","Rottboellia altissima"
"19557","Rottboellia cochinchinensis"
"19558","Rottboellia exaltata"
