acc_name,synonyms,acc_name_source,climate,Atlas,fl_nox,fed_nox,naturalized,weedy,occurrences,occurrences_new
Arctotheca calendula,Arctotheca calendula,ITIS,1,0,0,1,1,1,19846,23867
Ardisia guianensis,"Ardisia acuminata, Ardisia guianensis",TNRS,1,0,0,0,1,0,0,1000
Areca catechu,"Areca catechu, Areca cathechu, Areca cathecu",ITIS,1,0,0,0,1,1,162,187
Arenaria montana,Arenaria montana,ITIS,1,0,0,0,1,1,9855,5918
Arenga pinnata,"Arenga pinnata, Arenga saccharifera",ITIS,1,0,0,0,1,1,122,119
Argemone mexicana,"Argemone leiocarpa, Argemone leiocarpa var. mexicanoides, Argemone leiocarpa var. ochroleucoides, Argemone mexicana, Argemone mexicana forma leiocarpa, Argemone mexicana var. lutea, Argemone mexicana var. ochroleuca, Argemone mexicana var. parviflora, Argemone mexicana var. typica, Argemone ochroleuca, Argemone sexvalvis, Argemone spinosa, Argemone versicolor, Argemone vulgaris, Argemone vulgaris var. citrina, Echtrus mexicanus, Echtrus trivialis, Papaver mexicanum",Atlas,1,1,0,0,1,1,5388,5119
Argyranthemum pinnatifidum,Argyranthemum pinnatifidum,TNRS,0,0,0,0,1,0,44,23
Arida riparia,"Arida riparia, Aster riparius, Aster sonorae, Machaeranthera riparia, Machaeranthera sonorae",ITIS,0,0,0,0,0,0,32,58
Aristida ternipes,"Aristida scabra, Aristida tenuis, Aristida ternipes, Muhlenbergia scabra, Muhlenbergia tenuis, Ortachne scabra, Ortachne tenuis, Stipa tenuis, Streptachne cubensis, Streptachne scabra, Streptachne tenuis",ITIS,1,0,0,0,1,1,1456,1281
Aronia x prunifolia,"Adenorachis atropurpurea, Aronia arbutifolia var. atropurpurea, Aronia atropurpurea, Aronia floribunda, Aronia prunifolia, Aronia x prunifolia, Mespilus prunifolia, Photinia floribunda, Pyrus arbutifolia var. atropurpurea, Pyrus floribunda, Sorbus arbutifolia var. atropurpurea",ITIS,1,0,0,0,1,1,1664,4134
Arracacia xanthorrhiza,"Arracacia esculenta, Arracacia xanthorrhiza",ITIS,1,0,0,0,1,1,411,149
Arrhenatherum elatius,"Arrhenatherum americanum, Arrhenatherum avenaceum, Arrhenatherum bulbosum, Arrhenatherum elatius, Arrhenatherum elatius var. biaristatum, Arrhenatherum tuberosum, Avena avenaceum, Avena bulbosa, Avena elata, Avena elatior, Avena tuberosa, Avenastrum elatius, Holcus avenaceus, Holcus bulbosus, Hordeum avenaceum",ITIS,1,0,0,0,1,1,515186,519031
Artemisia absinthium,"Artemisia absinthium, Artemisia absinthium var. absinthium, Artemisia absinthium var. insipida",ITIS,1,0,0,0,1,1,30712,33113
Artemisia biennis,"Artemisia biennis, Artemisia biennis var. biennis, Artemisia biennis var. diffusa",ITIS,1,0,0,0,1,1,2934,3193
Artemisia capillaris,Artemisia capillaris,TNRS,1,0,0,0,1,1,708,1301
Artemisia frigida,"Artemisia frigida, Artemisia frigida var. williamsiae",ITIS,1,0,0,0,1,1,2479,3291
Artemisia sieversiana,Artemisia sieversiana,TNRS,1,0,0,0,1,1,668,986
Artemisia tridentata,Artemisia tridentata,ITIS,1,0,0,0,1,1,5700,2101
Artemisia vulgaris,"Artemisia affinis, Artemisia heterophylla, Artemisia igniaria, Artemisia indica, Artemisia lactiflora, Artemisia leptostachya, Artemisia officinalis, Artemisia opulenta, Artemisia opulenta forma genuina, Artemisia paniculaeformis, Artemisia rubriflora, Artemisia ruderalis, Artemisia samamisica, Artemisia violacea, Artemisia virens, Artemisia vulgaris, Artemisia vulgaris subsp. typica, Artemisia vulgaris var. coarctata, Artemisia vulgaris var. glabra, Artemisia vulgaris var. kamschatica, Artemisia vulgaris var. normalis, Artemisia vulgaris var. typica",Atlas,1,1,0,0,1,1,347574,714878
